ComponentID:,Y
Sensor_id,average amplitude,standard deviations,avgQ_0,winQ_0,avgQ_3,winQ_3,avgQ_6,winQ_6,avgQ_9,winQ_9,avgQ_12,winQ_12,avgQ_15,winQ_15,avgQ_18,winQ_18,avgQ_21,winQ_21,avgQ_24,winQ_24,avgQ_27,winQ_27,avgQ_30,winQ_30,avgQ_33,winQ_33,avgQ_36,winQ_36,avgQ_39,winQ_39,avgQ_42,winQ_42,avgQ_45,winQ_45
1,-0.009066152083333336,0.0015326897003293456,-0.935410833780014,<221>,-0.7396153756372562,<223>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,0.13627155853701473,<344>,0.604610133753802,<446>
2,0.27570916666666667,0.005740282307711196,-0.935410833780014,<212>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,0.13627155853701473,<434>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.905015725650362,<555>,0.9658059419096657,<566>,0.9658059419096657,<665>
3,-0.3532645833333334,0.004905793326234022,0.9354108337800137,<655>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.13627155853701473,<443>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.935410833780014,<212>,-0.5742150256241505,<233>,-0.4088146756110446,<333>
4,-0.11903527083333332,0.04903560177001484,0.905015725650362,<555>,0.9658059419096657,<566>,0.9354108337800137,<565>,0.4088146756110444,<444>,-0.4088146756110446,<333>,-0.9050157256503621,<222>,-0.935410833780014,<122>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.5742150256241505,<233>,-0.5742150256241505,<233>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.13627155853701495,<334>
5,0.001871096666666667,0.0006229823550381575,0.770010483766908,<564>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.13627155853701473,<344>,0.5742150256241502,<445>,0.5742150256241503,<544>,0.4088146756110444,<444>,0.4088146756110444,<444>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.5742150256241505,<332>,-0.935410833780014,<122>,-0.4088146756110446,<333>
6,-0.0377284375,0.010846517595727538,0.9354108337800137,<655>,0.7396153756372561,<554>,0.4088146756110444,<444>,-0.13627155853701495,<433>,-0.4088146756110446,<333>,-0.7396153756372564,<322>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.9962010500393174,<111>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>
7,-0.073273875,0.004997562270851828,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,0.13627155853701473,<344>,0.4088146756110444,<444>,0.13627155853701473,<443>,0.4088146756110444,<444>,0.770010483766908,<456>,0.30167190855012055,<543>,-0.6046101337538022,<331>
8,-0.04489222916666668,0.012568039767335079,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.935410833780014,<122>,-0.30167190855012077,<234>,0.770010483766908,<456>,0.905015725650362,<555>,0.5742150256241503,<544>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.13627155853701473,<443>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.13627155853701495,<334>
9,-0.001933768125,0.00045780975710739755,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.13627155853701495,<334>,0.13627155853701473,<443>,-0.4088146756110446,<333>,-0.7700104837669081,<321>,-0.5742150256241505,<233>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,0.4088146756110444,<444>,0.13627155853701473,<443>,-0.13627155853701495,<334>,0.5742150256241502,<445>,0.6046101337538021,<644>,-0.4088146756110446,<333>
10,-0.1776900833333334,0.06722648396057457,0.4088146756110444,<444>,0.4088146756110444,<444>,-0.4088146756110446,<333>,-0.7700104837669081,<321>,-0.9050157256503621,<222>,-0.5742150256241505,<233>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,0.4088146756110444,<444>,0.905015725650362,<555>,0.9658059419096657,<665>,0.905015725650362,<555>
