ComponentID:,Y
Sensor_id,average amplitude,standard deviations,avgQ_0,winQ_0,avgQ_3,winQ_3,avgQ_6,winQ_6,avgQ_9,winQ_9,avgQ_12,winQ_12,avgQ_15,winQ_15,avgQ_18,winQ_18,avgQ_21,winQ_21,avgQ_24,winQ_24,avgQ_27,winQ_27,avgQ_30,winQ_30
1,0.0003219351515151509,0.007585107885629386,-0.7396153756372562,<223>,-0.4088146756110446,<333>,-0.5742150256241505,<332>,-0.7700104837669081,<132>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.13627155853701495,<334>,-0.13627155853701495,<334>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.770010483766908,<456>
2,0.16468684242424242,0.09348692205535628,-0.935410833780014,<212>,-0.7396153756372562,<223>,-0.4088146756110446,<333>,-0.13627155853701495,<334>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.7396153756372561,<455>,0.905015725650362,<555>,0.9354108337800137,<556>,0.9354108337800137,<655>
3,-0.2192560606060606,0.10841519293366965,0.9658059419096657,<665>,0.5742150256241503,<544>,0.4088146756110444,<444>,-0.13627155853701495,<433>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.935410833780014,<221>,-0.9050157256503621,<222>
4,-0.09002312121212121,0.016950118270361626,-0.13627155853701495,<433>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.9658059419096657,<211>,-0.7396153756372562,<223>,-0.13627155853701495,<334>,0.604610133753802,<446>
5,-0.010012218181818182,0.009596259922283946,0.770010483766908,<654>,-0.13627155853701495,<433>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.7396153756372564,<322>,-0.5742150256241505,<332>,-0.935410833780014,<221>,-0.9050157256503621,<222>,-0.5742150256241505,<233>,-0.4088146756110446,<333>
6,-0.029675157575757574,0.015040221726807537,-0.4088146756110446,<333>,0.4088146756110444,<444>,0.13627155853701473,<443>,0.13627155853701473,<344>,0.13627155853701473,<443>,-0.7396153756372564,<322>,-0.9658059419096657,<211>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,0.4088146756110444,<444>,0.9354108337800137,<556>
7,-0.17155303030303032,0.015024031756196567,0.4088146756110444,<444>,0.9354108337800137,<565>,0.4088146756110444,<444>,0.13627155853701473,<443>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.7396153756372564,<232>,-0.935410833780014,<212>,-0.935410833780014,<122>,-0.4088146756110446,<333>,-0.4088146756110446,<333>
8,0.0418289696969697,0.009788519944100406,-0.7396153756372562,<223>,-0.4088146756110446,<333>,0.3320670166797724,<346>,0.4088146756110444,<444>,0.4088146756110444,<444>,-0.4088146756110446,<333>,-0.7396153756372564,<322>,-0.935410833780014,<212>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.5742150256241505,<233>
9,0.012867242424242427,0.01093765903517363,-0.7700104837669081,<123>,-0.4088146756110446,<333>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.5742150256241502,<445>,0.9354108337800137,<655>,0.905015725650362,<555>,0.5742150256241503,<544>,0.4088146756110444,<444>
10,-0.370470909090909,0.08914825831041016,0.13627155853701473,<443>,-0.4088146756110446,<333>,-0.9050157256503621,<222>,-0.935410833780014,<221>,-0.935410833780014,<122>,-0.9050157256503621,<222>,-0.9658059419096657,<211>,-0.7396153756372562,<223>,-0.4088146756110446,<333>,0.4088146756110444,<444>,0.604610133753802,<446>
11,-0.4741630303030302,0.10463895805259346,-0.7396153756372564,<322>,-0.7700104837669081,<123>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,0.13627155853701473,<344>,0.4088146756110444,<444>,0.13627155853701473,<443>,-0.4088146756110446,<333>,-0.13627155853701495,<334>,0.4088146756110444,<444>,0.770010483766908,<456>
12,-0.1537657181818182,0.09484856833718797,0.059523899605742746,<336>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.6046101337538022,<331>,-0.5742150256241505,<233>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.5742150256241505,<323>,-0.4088146756110446,<333>,0.4088146756110444,<444>,0.4088146756110444,<444>
13,8.751575757575757e-10,1.4228620789632771e-09,-0.935410833780014,<122>,-0.5742150256241505,<323>,-0.13627155853701495,<334>,0.6046101337538021,<464>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>
14,0.11698424242424241,0.003874784084153107,-0.6046101337538022,<313>,0.4088146756110444,<444>,-0.13627155853701495,<433>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.13627155853701495,<334>,0.604610133753802,<446>,0.7396153756372561,<545>,0.4088146756110444,<444>
15,0.03870445454545454,0.011357532102532448,-0.7700104837669081,<123>,-0.4088146756110446,<333>,0.13627155853701473,<344>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.905015725650362,<555>,0.9354108337800137,<655>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>
16,-0.48819121212121197,0.004473649284946418,0.770010483766908,<564>,0.13627155853701473,<443>,-0.4088146756110446,<333>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.935410833780014,<221>,-0.935410833780014,<122>,-0.13627155853701495,<334>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>
17,8.72428e-10,1.218072956956067e-09,-0.8004055918965598,<113>,-0.7396153756372564,<322>,-0.7396153756372564,<322>,0.13627155853701473,<344>,0.9354108337800137,<655>,0.13627155853701473,<443>,-0.5742150256241505,<233>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>
18,0.13382418181818181,0.03970218530238762,-0.6046101337538022,<133>,-0.13627155853701495,<334>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.905015725650362,<555>,0.905015725650362,<555>,0.9354108337800137,<655>,0.7396153756372561,<554>,0.4088146756110444,<444>,0.4088146756110444,<444>
