ComponentID:,Y
Sensor_id,average amplitude,standard deviations,avgQ_0,winQ_0,avgQ_3,winQ_3,avgQ_6,winQ_6,avgQ_9,winQ_9,avgQ_12,winQ_12,avgQ_15,winQ_15,avgQ_18,winQ_18,avgQ_21,winQ_21,avgQ_24,winQ_24
1,-0.004905548620689655,0.007728110547081695,0.6046101337538021,<644>,0.4088146756110444,<444>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.935410833780014,<122>
2,0.08236287793103449,0.04764309009568474,-0.9658059419096657,<112>,-0.7396153756372562,<223>,-0.4088146756110446,<333>,-0.13627155853701495,<334>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.5742150256241502,<445>
3,-0.11645651724137931,0.057861816176855235,0.9354108337800137,<655>,0.5742150256241503,<544>,0.4088146756110444,<444>,-0.13627155853701495,<433>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.5742150256241505,<332>
4,-0.10799172413793102,0.004842534295868097,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.770010483766908,<546>,0.4670722585632264,<553>,0.4088146756110444,<444>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.7396153756372564,<232>
5,-0.0016569835172413794,0.002648322721410297,0.6046101337538021,<644>,0.13627155853701473,<434>,0.13627155853701473,<443>,-0.6046101337538022,<313>,0.13627155853701473,<344>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>
6,-0.2892210344827586,0.03654354835694055,0.13627155853701473,<344>,0.770010483766908,<564>,0.4088146756110444,<444>,0.5742150256241503,<454>,-0.6046101337538022,<331>,-0.4088146756110446,<333>,-0.13627155853701495,<334>,0.4088146756110444,<444>,0.4088146756110444,<444>
7,-0.6162458620689658,0.48933583213419357,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.30167190855012077,<225>,-0.9050157256503621,<222>,0.3320670166797724,<256>,-0.935410833780014,<122>
8,0.17291693103448277,0.035014471225018634,0.13627155853701473,<344>,0.7396153756372561,<455>,0.5742150256241502,<445>,0.9354108337800137,<565>,0.4088146756110444,<444>,0.13627155853701473,<443>,0.4088146756110444,<444>,-0.6046101337538022,<331>,0.13627155853701473,<344>
9,0.002392030344827586,0.0037217802844842604,-0.7700104837669081,<123>,-0.13627155853701495,<343>,-0.13627155853701495,<334>,0.770010483766908,<654>,0.13627155853701473,<434>,0.13627155853701473,<434>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>
10,-0.38181827586206896,0.01967970459355062,0.13627155853701473,<344>,0.4088146756110444,<444>,-0.13627155853701495,<433>,-0.5742150256241505,<332>,-0.935410833780014,<212>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,0.13627155853701473,<443>,-0.13627155853701495,<334>
11,-0.801545172413793,0.02578928106934587,0.4088146756110444,<444>,0.13627155853701473,<443>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.7396153756372564,<322>,-0.9050157256503621,<222>,-0.7700104837669081,<213>,-0.13627155853701495,<334>
12,-0.021551066206896553,0.03600414336271518,0.905015725650362,<555>,0.905015725650362,<555>,0.905015725650362,<555>,0.9658059419096657,<566>,0.905015725650362,<555>,0.905015725650362,<555>,0.5742150256241503,<544>,0.4088146756110444,<444>,-0.4088146756110446,<333>
13,1.6376051379310343e-09,1.503310930014026e-09,-0.7700104837669081,<312>,-0.4088146756110446,<333>,-0.5742150256241505,<323>,-0.4088146756110446,<333>,-0.13627155853701495,<334>,0.4088146756110444,<444>,-0.13627155853701495,<343>,0.13627155853701473,<344>,0.604610133753802,<446>
14,0.07738945172413793,0.05275349695459401,-0.935410833780014,<122>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.905015725650362,<555>
15,0.03745857482758621,0.05650951385503047,0.9354108337800137,<556>,0.905015725650362,<555>,0.4088146756110444,<444>,0.4088146756110444,<444>,-0.13627155853701495,<433>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.935410833780014,<221>,-0.9658059419096657,<211>
16,-0.5872013793103448,0.009316014659283538,0.3320670166797724,<643>,-0.4088146756110446,<333>,-0.9050157256503621,<222>,-0.9962010500393174,<111>,-0.9050157256503621,<222>,-0.5742150256241505,<233>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>
17,-2.739694137931034e-09,1.9710597460940986e-09,0.905015725650362,<555>,0.770010483766908,<564>,-0.33206701667977256,<413>,-0.5742150256241505,<233>,-0.4088146756110446,<333>,0.4088146756110444,<444>,0.13627155853701473,<443>,0.4088146756110444,<444>,0.4088146756110444,<444>
18,0.07328189655172412,0.02409528888757106,0.4088146756110444,<444>,0.5742150256241502,<445>,0.9354108337800137,<556>,0.905015725650362,<555>,0.905015725650362,<555>,0.4088146756110444,<444>,-0.13627155853701495,<433>,-0.6046101337538022,<331>,-0.5742150256241505,<233>
19,0.076777,0.04597365792607162,-0.7396153756372564,<322>,-0.9050157256503621,<222>,-0.935410833780014,<212>,-0.9050157256503621,<222>,-0.5742150256241505,<233>,0.13627155853701473,<344>,0.5742150256241502,<445>,0.9354108337800137,<565>,0.5742150256241503,<544>
20,-0.6149486206896551,0.01334061874285938,0.9962010500393174,<666>,0.905015725650362,<555>,0.905015725650362,<555>,0.7396153756372561,<554>,0.4088146756110444,<444>,0.13627155853701473,<443>,-0.5742150256241505,<332>,-0.935410833780014,<122>,-0.5742150256241505,<233>
