ComponentID:,Z
Sensor_id,average amplitude,standard deviations,avgQ_0,winQ_0,avgQ_3,winQ_3,avgQ_6,winQ_6,avgQ_9,winQ_9,avgQ_12,winQ_12,avgQ_15,winQ_15,avgQ_18,winQ_18,avgQ_21,winQ_21,avgQ_24,winQ_24,avgQ_27,winQ_27,avgQ_30,winQ_30,avgQ_33,winQ_33,avgQ_36,winQ_36,avgQ_39,winQ_39,avgQ_42,winQ_42,avgQ_45,winQ_45,avgQ_48,winQ_48,avgQ_51,winQ_51
1,0.9978830357142857,0.0002128876266522771,0.6046101337538021,<644>,0.4088146756110444,<444>,0.4088146756110444,<444>,-0.13627155853701495,<343>,-0.4088146756110446,<333>,-0.5742150256241505,<332>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.7396153756372562,<223>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.5742150256241503,<544>,0.13627155853701473,<443>,-0.6046101337538022,<313>
2,0.012498285892857144,0.010165548318974727,-0.935410833780014,<122>,-0.13627155853701495,<334>,-0.4088146756110446,<333>,0.13627155853701473,<344>,0.6046101337538021,<644>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.13627155853701473,<443>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>
3,0.0023845644642857128,0.0013501952358017917,-0.935410833780014,<212>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.7396153756372561,<455>,0.9354108337800137,<565>,0.7396153756372561,<554>,0.4088146756110444,<444>,0.4088146756110444,<444>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>
4,0.0014625510714285715,0.0003388916948708296,0.13627155853701473,<344>,-0.4974673666928784,<412>,-0.5742150256241505,<233>,-0.4088146756110446,<333>,0.13627155853701473,<344>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.13627155853701473,<443>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,0.13627155853701473,<344>,0.4088146756110444,<444>,0.770010483766908,<654>
5,-0.007047819821428573,0.011987485772089648,-0.6046101337538022,<133>,0.13627155853701473,<344>,0.4088146756110444,<444>,0.5742150256241502,<445>,0.770010483766908,<654>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.5742150256241502,<445>,0.7396153756372561,<554>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,-0.13627155853701495,<433>
6,-0.2639171607142857,0.06702382932445337,0.6046101337538021,<644>,-0.13627155853701495,<433>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.13627155853701495,<334>,0.4088146756110444,<444>,-0.4088146756110446,<333>,0.4088146756110444,<444>,0.13627155853701473,<434>,-0.13627155853701495,<334>,0.13627155853701473,<443>,-0.4088146756110446,<333>,-0.7396153756372564,<322>,-0.6046101337538022,<133>,-0.5742150256241505,<332>,-0.5742150256241505,<233>
7,-4.273680318910715e-05,0.00011690001698597827,-0.6046101337538022,<133>,0.13627155853701473,<344>,0.4088146756110444,<444>,0.770010483766908,<465>,0.5742150256241503,<544>,0.5742150256241502,<445>,0.905015725650362,<555>,0.905015725650362,<555>,0.905015725650362,<555>,0.905015725650362,<555>,0.905015725650362,<555>,0.905015725650362,<555>,0.905015725650362,<555>,0.905015725650362,<555>,0.905015725650362,<555>,0.905015725650362,<555>,0.905015725650362,<555>,0.905015725650362,<555>
8,-0.041953550000000006,0.04040499546748963,0.5742150256241503,<454>,0.4088146756110444,<444>,0.13627155853701473,<443>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.6046101337538022,<313>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.5742150256241505,<332>,-0.4088146756110446,<333>,-0.13627155853701495,<334>,0.6046101337538021,<644>,0.4088146756110444,<444>,0.4088146756110444,<444>
9,-0.006764830607142859,0.012036431054781692,-0.6046101337538022,<133>,0.13627155853701473,<344>,0.4088146756110444,<444>,0.5742150256241502,<445>,0.6046101337538021,<644>,0.4088146756110444,<444>,0.5742150256241502,<445>,0.770010483766908,<654>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.13627155853701473,<443>
10,0.34549367857142865,0.07622510648427815,-0.6046101337538022,<133>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.5742150256241502,<445>,0.905015725650362,<555>,0.5742150256241503,<544>,0.905015725650362,<555>,0.905015725650362,<555>,0.905015725650362,<555>,0.9658059419096657,<566>,0.9354108337800137,<655>,0.905015725650362,<555>,0.905015725650362,<555>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.13627155853701473,<443>,-0.4088146756110446,<333>,-0.4088146756110446,<333>
