ComponentID:,X
Sensor_id,average amplitude,standard deviations,avgQ_0,winQ_0,avgQ_3,winQ_3,avgQ_6,winQ_6,avgQ_9,winQ_9,avgQ_12,winQ_12,avgQ_15,winQ_15,avgQ_18,winQ_18,avgQ_21,winQ_21
1,0.083937412,0.041676436044098784,0.13627155853701473,<344>,0.7396153756372561,<455>,0.905015725650362,<555>,0.9658059419096657,<665>,0.4088146756110444,<444>,0.4088146756110444,<444>,-0.4088146756110446,<333>,-0.4088146756110446,<333>
2,0.9780400000000001,0.005256998383107978,0.770010483766908,<654>,0.4088146756110444,<444>,-0.4088146756110446,<333>,-0.5742150256241505,<332>,-0.935410833780014,<221>,-0.935410833780014,<122>,-0.9050157256503621,<222>,-0.4088146756110446,<333>
3,0.9666364000000001,0.006562248322031101,0.6046101337538021,<644>,0.13627155853701473,<443>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.935410833780014,<221>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.5742150256241505,<233>
4,0.9913763999999999,0.0011645595905748986,0.30167190855012055,<543>,-0.5742150256241505,<332>,-0.7396153756372564,<322>,-0.935410833780014,<122>,-0.9050157256503621,<222>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,0.5742150256241502,<445>
5,0.43167919999999993,0.002160070221080788,0.9354108337800137,<556>,0.7396153756372561,<554>,-0.7700104837669081,<123>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.5742150256241505,<332>
6,0.927926,0.0028421555200234903,0.4088146756110444,<444>,-0.6046101337538022,<331>,-0.7396153756372564,<232>,0.16666666666666657,<246>,0.5742150256241503,<544>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.5742150256241502,<445>
7,0.9864744000000001,0.0012321431085713934,0.770010483766908,<564>,0.13627155853701473,<443>,-0.5742150256241505,<332>,-0.7700104837669081,<123>,-0.4088146756110446,<333>,-0.13627155853701495,<334>,0.4088146756110444,<444>,0.4088146756110444,<444>
8,0.9984884000000003,0.00023100961018969002,0.770010483766908,<465>,0.5742150256241503,<544>,0.4088146756110444,<444>,0.4088146756110444,<444>,-0.13627155853701495,<433>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>
9,0.4367568,0.006588282762602098,-0.4088146756110446,<333>,-0.935410833780014,<221>,-0.5742150256241505,<233>,0.13627155853701473,<344>,0.4088146756110444,<444>,0.7396153756372561,<455>,0.9658059419096657,<665>,0.905015725650362,<555>
10,0.8768443999999999,0.03955856530057681,0.4088146756110444,<444>,-0.4088146756110446,<333>,-0.5742150256241505,<332>,-0.935410833780014,<212>,-0.5742150256241505,<233>,-0.13627155853701495,<334>,0.5742150256241502,<445>,0.9658059419096657,<566>
11,0.8835280000000002,0.05960624732358177,0.4088146756110444,<444>,0.4088146756110444,<444>,-0.4088146756110446,<333>,-0.5742150256241505,<332>,-0.9658059419096657,<211>,-0.5742150256241505,<233>,0.4088146756110444,<444>,0.5742150256241502,<445>
12,0.9009491999999999,0.35967062229678975,0.905015725650362,<555>,0.905015725650362,<555>,0.905015725650362,<555>,0.905015725650362,<555>,0.905015725650362,<555>,0.2712768004204688,<155>,0.9658059419096657,<566>,0.9962010500393174,<666>
13,0.3984439999999999,0.0030846795619642545,-0.30167190855012077,<324>,0.13627155853701473,<344>,0.5742150256241502,<445>,0.905015725650362,<555>,0.9354108337800137,<655>,0.5742150256241503,<544>,0.13627155853701473,<443>,-0.7700104837669081,<312>
14,0.9348599999999999,0.001243720225774256,-0.6046101337538022,<133>,0.13627155853701473,<344>,0.4088146756110444,<444>,0.9354108337800137,<556>,0.905015725650362,<555>,0.905015725650362,<555>,0.905015725650362,<555>,0.905015725650362,<555>
15,0.99921,0.00010154801819828192,0.4088146756110444,<444>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.9050157256503621,<222>,-0.9658059419096657,<121>,-0.9050157256503621,<222>,-0.4088146756110446,<333>,0.4088146756110444,<444>
16,0.7957968000000001,0.0021669032650305435,-0.6046101337538022,<133>,-0.13627155853701495,<334>,0.4088146756110444,<444>,0.9354108337800137,<655>,0.7396153756372561,<545>,0.905015725650362,<555>,0.905015725650362,<555>,0.5742150256241503,<454>
17,-0.3658872,0.0034842807234779474,0.4088146756110444,<444>,0.905015725650362,<555>,0.9354108337800137,<655>,0.7396153756372561,<554>,0.4088146756110444,<444>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.6046101337538022,<331>
18,0.9336563999999999,0.0013280177107252867,0.6046101337538021,<644>,-0.4088146756110446,<333>,-0.5742150256241505,<332>,-0.935410833780014,<122>,-0.4088146756110446,<333>,-0.13627155853701495,<334>,0.4088146756110444,<444>,0.4088146756110444,<444>
19,0.9991940000000001,0.00018753133071569946,0.6046101337538021,<644>,0.4088146756110444,<444>,-0.13627155853701495,<433>,-0.5742150256241505,<332>,-0.935410833780014,<212>,-0.5742150256241505,<233>,-0.4088146756110446,<333>,0.13627155853701473,<344>
20,0.7878820000000001,0.003112417709755549,0.6046101337538021,<644>,-0.13627155853701495,<433>,-0.4088146756110446,<333>,-0.9050157256503621,<222>,-0.9658059419096657,<112>,-0.9050157256503621,<222>,-0.4088146756110446,<333>,-0.13627155853701495,<334>
