ComponentID:,W
Sensor_id,average amplitude,standard deviations,avgQ_0,winQ_0,avgQ_3,winQ_3,avgQ_6,winQ_6,avgQ_9,winQ_9,avgQ_12,winQ_12,avgQ_15,winQ_15,avgQ_18,winQ_18,avgQ_21,winQ_21,avgQ_24,winQ_24,avgQ_27,winQ_27,avgQ_30,winQ_30,avgQ_33,winQ_33,avgQ_36,winQ_36,avgQ_39,winQ_39,avgQ_42,winQ_42,avgQ_45,winQ_45
1,0.015440596000000003,0.007646506531271911,-0.935410833780014,<122>,-0.5742150256241505,<233>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,0.13627155853701473,<344>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.5742150256241502,<445>,0.7396153756372561,<455>,0.9354108337800137,<556>,0.9354108337800137,<565>,0.5742150256241503,<544>
2,0.007374651400000002,0.006114399942598867,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.7396153756372561,<455>,0.9354108337800137,<556>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,-0.13627155853701495,<433>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.7700104837669081,<321>,-0.9050157256503621,<222>,-0.4088146756110446,<333>,-0.7396153756372564,<322>
3,-0.0039781539999999985,0.0014915543305169946,-0.13627155853701495,<334>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.935410833780014,<221>,-0.5742150256241505,<233>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.13627155853701495,<334>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.5742150256241502,<445>,0.9354108337800137,<556>,0.905015725650362,<555>,0.4088146756110444,<444>,0.4088146756110444,<444>
4,-0.03498331999999999,0.012329834411605048,-0.7700104837669081,<321>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.7396153756372562,<223>,-0.4088146756110446,<333>,0.4088146756110444,<444>,0.5742150256241502,<445>,0.905015725650362,<555>,0.905015725650362,<555>,0.9354108337800137,<556>,0.905015725650362,<555>,0.5742150256241503,<544>,0.4088146756110444,<444>
5,0.9135822000000001,0.014128206579746753,-0.4088146756110446,<333>,0.13627155853701473,<344>,0.5742150256241502,<445>,0.905015725650362,<555>,0.9354108337800137,<556>,0.5742150256241503,<544>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.905015725650362,<555>,0.905015725650362,<555>,0.5742150256241503,<544>,0.4088146756110444,<444>,-0.33206701667977256,<431>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>
6,0.20450120000000005,0.08242037264269071,0.4088146756110444,<444>,-0.4088146756110446,<333>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.935410833780014,<221>,-0.7396153756372562,<223>,-0.4088146756110446,<333>,-0.7396153756372564,<322>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.4088146756110446,<333>,0.13627155853701473,<344>,0.4088146756110444,<444>,0.5742150256241502,<445>,0.9658059419096657,<566>,0.905015725650362,<555>
7,0.0063525626965,0.013600129311810712,-0.9962010500393174,<111>,-0.9962010500393174,<111>,-0.9962010500393174,<111>,-0.9962010500393174,<111>,-0.9962010500393174,<111>,-0.9962010500393174,<111>,-0.9962010500393174,<111>,-0.9962010500393174,<111>,-0.9962010500393174,<111>,-0.9962010500393174,<111>,-0.9962010500393174,<111>,-0.9962010500393174,<111>,-0.9962010500393174,<111>,-0.5278624748225301,<114>,0.4088146756110444,<444>,0.5742150256241502,<445>
8,0.28601441999999994,0.18180747608127557,0.4088146756110444,<444>,0.7396153756372561,<554>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.9354108337800137,<565>,0.5742150256241503,<544>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.13627155853701473,<443>,-0.4974673666928784,<412>,-0.5742150256241505,<323>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>
9,0.7653157999999999,0.49228816459910935,-0.9962010500393174,<111>,0.9658059419096657,<566>,0.9962010500393174,<666>,0.9962010500393174,<666>,0.9962010500393174,<666>,0.905015725650362,<555>,0.905015725650362,<555>,0.9658059419096657,<566>,0.9962010500393174,<666>,0.9962010500393174,<666>,0.9962010500393174,<666>,0.9962010500393174,<666>,0.30167190855012066,<615>,0.905015725650362,<555>,0.905015725650362,<555>,0.905015725650362,<555>
10,-0.2730614,0.040299826799131536,-0.13627155853701495,<334>,0.4088146756110444,<444>,0.4088146756110444,<444>,-0.13627155853701495,<433>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.5742150256241502,<445>,0.9354108337800137,<556>,0.9658059419096657,<665>,0.4088146756110444,<444>,-0.13627155853701495,<433>,-0.4088146756110446,<333>,-0.5742150256241505,<332>,-0.9658059419096657,<211>
